순번,도로명주소,농촌도시구분,층수,연면적(제곱미터)
78,전북특별자치도 군산시 옥성북길 19 (산북동),도시,1,72.06
79,전북특별자치도 군산시 옥구읍 광월길 33-38,농촌,1,331.63
80,전북특별자치도 군산시 옥구읍 옥구남로 150-13,농촌,1,39.6
81,전북특별자치도 군산시 옥구읍 남군산로 1539-1,농촌,1,42.64
82,전북특별자치도 군산시 옥구읍 옥구로 127-8,농촌,1,150
83,전북특별자치도 군산시 옥구읍 상산길 83-16,농촌,1,81.3
84,전북특별자치도 군산시 옥산면 하포로 178-9,농촌,1,30
85,전북특별자치도 군산시 옥산면 배그매3길 15-10,농촌,1,108.4
86,전북특별자치도 군산시 회현면 월하산1길 8,농촌,1,78.97
87,전북특별자치도 군산시 회현면 회현초교1길 34,농촌,1,95.94
88,전북특별자치도 군산시 회현면 신당길 42-10,농촌,1,50
89,전북특별자치도 군산시 회현면 원학당길 47,농촌,1,50
90,전북특별자치도 군산시 임피면 동군산로 699-3,농촌,1,120
91,전북특별자치도 군산시 임피면 동군산로 724,농촌,1,50
92,전북특별자치도 군산시 임피면 서원2길 20-1,농촌,1,65.34
93,전북특별자치도 군산시 임피면 구절길 11-12,농촌,1,39.27
94,전북특별자치도 군산시 임피면 탑천로 199,농촌,1,31.02
95,전북특별자치도 군산시 임피면 영창신기길 94,농촌,1,30
96,전북특별자치도 군산시 서수면 하장곤2길 19-10,농촌,1,48.96
97,전북특별자치도 군산시 서수면 신구1길 71-19,농촌,1,52.8
98,전북특별자치도 군산시 대야면 신복길 33,농촌,1,28
99,전북특별자치도 군산시 대야면 신복길 54-5,농촌,1,23.1
100,전북특별자치도 군산시 대야면 상리길 45,농촌,1,145.08
101,전북특별자치도 군산시 대야면 원접산길 27,농촌,1,65.6
102,전북특별자치도 군산시 대야면 장자골길 98-3,농촌,1,169
103,전북특별자치도 군산시 대야면 대야관통로 247,농촌,1,16.5
104,전북특별자치도 군산시 대야면 보덕안정길 63-4,농촌,1,18
105,전북특별자치도 군산시 개정면 남발산길 12-1,농촌,1,16
106,전북특별자치도 군산시 개정면 최호장군길 120,농촌,1,47
107,전북특별자치도 군산시 개정면 신동화2길 16,농촌,1,74
108,전북특별자치도 군산시 옥도면 야미도리 29,농촌,1,43
109,전북특별자치도 군산시 옥서면 옥봉초교길 23,농촌,1,89.58
110,전북특별자치도 군산시 옥서면 원성산2길 21-1,농촌,1,88.6
111,전북특별자치도 군산시 옥서면 남수라3길 14,농촌,1,33.3
