name,category,lat,lng,distance,house_id
월명동6 주차장,주차장,35.9805137053086,126.712101600881,294,29
안동집 주차장,주차장,35.9820773571079,126.713235807541,364,29
선양공영주차장,주차장,35.980362756913,126.712292865274,318,29
월명동7 주차장,주차장,35.9796159890526,126.712064944453,350,29
삼학동2 주차장,주차장,35.9812034751465,126.705184454142,368,29
월명동4 주차장,주차장,35.9813428683527,126.713619901875,400,29
월명동2 주차장,주차장,35.9829222382159,126.71379161139,433,29
이마트 군산점,마트,35.98284660385269,126.73500861752936,1952,30
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,869,30
더탑마트,마트,35.9774854873357,126.715851386631,785,30
Y식자재마트 군산수송점,마트,35.97008515037704,126.71420603151881,1577,30
진포마트,마트,35.9731249307333,126.721840764369,1452,30
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,327,30
화진마트,마트,35.97815921957206,126.7179778370611,794,30
종합가구할인마트,마트,35.9864175137364,126.71581160134,318,30
일등마트,마트,35.984902630839116,126.70722766282124,563,30
하늘마트,마트,35.9835254835231,126.711292282515,210,30
군산D.C마트,마트,35.9843296750522,126.709918789459,316,30
해누리식자재마트,마트,35.978076437319,126.710465019186,739,30
삼학홈마트,마트,35.9776600749237,126.711216073082,762,30
코사마트 월명점,마트,35.9847190190735,126.70695666661037,585,30
조양마트,마트,35.9747969271552,126.710871706691,1078,30
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,351,30
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,664,30
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,778,30
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,631,30
해망굴,가볼만한곳,35.9913180812321,126.704849620425,1098,30
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,563,30
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,885,30
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,811,30
월명산,가볼만한곳,35.98252204742429,126.70265581907687,991,30
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,412,30
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,643,30
조선은행,가볼만한곳,35.9892535183954,126.714221192099,555,30
우체통거리,가볼만한곳,35.9859964914028,126.711970794777,230,30
수시탑,가볼만한곳,35.989782775471,126.703546782706,1079,30
순대국밥거리,가볼만한곳,35.9838076419368,126.720070123366,600,30
월명동1 주차장,주차장,35.9845043341135,126.713595171946,27,30
월명동14 주차장,주차장,35.9840660593219,126.714235462926,76,30
월명동13 주차장,주차장,35.9859861169363,126.713660786077,189,30
시청광장 주차장,주차장,35.98776220923,126.711680493942,416,30
월명동2 주차장,주차장,35.9829222382159,126.71379161139,155,30
명산시장공영주차장,주차장,35.9827630758538,126.710558784441,309,30
테디베어뮤지엄 군산점 주차장,주차장,35.9855026905027,126.709385557018,388,30
안동집 주차장,주차장,35.9820773571079,126.713235807541,246,30
빈해원 주차장,주차장,35.9887769531663,126.713921281175,499,30
군산시공영주차장,주차장,35.9812263159995,126.714631573098,356,30
월명동9 주차장,주차장,35.9821952008757,126.711266080671,303,30
월명동3 주차장,주차장,35.9812588761408,126.714680244275,354,30
월명동4 주차장,주차장,35.9813428683527,126.713619901875,327,30
월명동 17-22 주차장,주차장,35.9844877681132,126.708216091747,470,30
영화유료주차장,주차장,35.988216266448,126.713116008208,436,30
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,269,31
더탑마트,마트,35.9774854873357,126.715851386631,1374,31
일등마트,마트,35.984902630839116,126.70722766282124,461,31
코렉스마트주차장,마트,35.9911257686757,126.70876276595,275,31
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,681,31
코사마트 월명점,마트,35.9847190190735,126.70695666661037,489,31
종합가구할인마트,마트,35.9864175137364,126.71581160134,635,31
군산D.C마트,마트,35.9843296750522,126.709918789459,486,31
하늘마트,마트,35.9835254835231,126.711292282515,599,31
동신마트,마트,35.9872241781825,126.706847601044,277,31
다온마트,마트,35.989066560214134,126.69751463164782,1067,31
완도수산활어마트,마트,35.992423431840386,126.70723647082893,456,31
앨트종합마트,마트,35.9834183216938,126.71020599258,589,31
한솔마트,마트,35.9794507636855,126.704893814138,1100,31
싱싱과일마트,마트,35.9826464124889,126.710018093324,672,31
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,426,31
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,285,31
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,315,31
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,339,31
해망굴,가볼만한곳,35.9913180812321,126.704849620425,499,31
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,437,31
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,522,31
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,476,31
월명산,가볼만한곳,35.98252204742429,126.70265581907687,911,31
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,213,31
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,419,31
조선은행,가볼만한곳,35.9892535183954,126.714221192099,444,31
우체통거리,가볼만한곳,35.9859964914028,126.711970794777,381,31
수시탑,가볼만한곳,35.989782775471,126.703546782706,536,31
순대국밥거리,가볼만한곳,35.9838076419368,126.720070123366,1108,31
영화주차장,주차장,35.989154429627,126.708991799105,60,31
주차장,주차장,35.989513024026216,126.71044208814281,135,31
시청광장 주차장,주차장,35.98776220923,126.711680493942,234,31
군산근대역사박물관 주차장,주차장,35.9904119240016,126.713223390125,398,31
해신동주민센터 주차장,주차장,35.989526122396,126.707667465244,177,31
빈해원 주차장,주차장,35.9887769531663,126.713921281175,412,31
용궁수산물센터주차장,주차장,35.9900313722032,126.710873793386,203,31
공영주차장,주차장,35.9900229797068,126.71113110038,219,31
월명동10 주차장,주차장,35.9901298686052,126.711356936782,242,31
금동공영주차장,주차장,35.9896810778442,126.706168708926,306,31
군산근대역사박물관 주차장,주차장,35.9908272052256,126.711641617427,315,31
테디베어뮤지엄 군산점 주차장,주차장,35.9855026905027,126.709385557018,353,31
코렉스마트주차장,주차장,35.9911257686757,126.70876276595,275,31
해신동3 주차장,주차장,35.987587681738,126.705134090579,398,31
영화유료주차장,주차장,35.988216266448,126.713116008208,344,31
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,306,32
더탑마트,마트,35.9774854873357,126.715851386631,1350,32
일등마트,마트,35.984902630839116,126.70722766282124,401,32
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,642,32
코렉스마트주차장,마트,35.9911257686757,126.70876276595,317,32
코사마트 월명점,마트,35.9847190190735,126.70695666661037,430,32
군산D.C마트,마트,35.9843296750522,126.709918789459,446,32
종합가구할인마트,마트,35.9864175137364,126.71581160134,656,32
하늘마트,마트,35.9835254835231,126.711292282515,568,32
동신마트,마트,35.9872241781825,126.706847601044,217,32
다온마트,마트,35.989066560214134,126.69751463164782,1029,32
완도수산활어마트,마트,35.992423431840386,126.70723647082893,485,32
앨트종합마트,마트,35.9834183216938,126.71020599258,550,32
한솔마트,마트,35.9794507636855,126.704893814138,1042,32
명산알뜰쇼핑마트,마트,35.9819278144096,126.709515092924,705,32
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,453,32
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,345,32
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,377,32
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,396,32
해망굴,가볼만한곳,35.9913180812321,126.704849620425,497,32
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,486,32
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,466,32
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,417,32
월명산,가볼만한곳,35.98252204742429,126.70265581907687,849,32
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,227,32
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,475,32
조선은행,가볼만한곳,35.9892535183954,126.714221192099,492,32
우체통거리,가볼만한곳,35.9859964914028,126.711970794777,374,32
수시탑,가볼만한곳,35.989782775471,126.703546782706,510,32
순대국밥거리,가볼만한곳,35.9838076419368,126.720070123366,1122,32
영화주차장,주차장,35.989154429627,126.708991799105,99,32
시청광장 주차장,주차장,35.98776220923,126.711680493942,257,32
주차장,주차장,35.989513024026216,126.71044208814281,196,32
해신동주민센터 주차장,주차장,35.989526122396,126.707667465244,178,32
군산근대역사박물관 주차장,주차장,35.9904119240016,126.713223390125,457,32
금동공영주차장,주차장,35.9896810778442,126.706168708926,291,32
빈해원 주차장,주차장,35.9887769531663,126.713921281175,456,32
월명동10 주차장,주차장,35.9901298686052,126.711356936782,303,32
공영주차장,주차장,35.9900229797068,126.71113110038,280,32
용궁수산물센터주차장,주차장,35.9900313722032,126.710873793386,265,32
테디베어뮤지엄 군산점 주차장,주차장,35.9855026905027,126.709385557018,309,32
해신동4 주차장,주차장,35.9864298560572,126.704872262841,415,32
해신동3 주차장,주차장,35.987587681738,126.705134090579,347,32
군산근대역사박물관 주차장,주차장,35.9908272052256,126.711641617427,377,32
코렉스마트주차장,주차장,35.9911257686757,126.70876276595,317,32
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,214,33
더탑마트,마트,35.9774854873357,126.715851386631,1429,33
코렉스마트주차장,마트,35.9911257686757,126.70876276595,213,33
일등마트,마트,35.984902630839116,126.70722766282124,543,33
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,752,33
종합가구할인마트,마트,35.9864175137364,126.71581160134,639,33
코사마트 월명점,마트,35.9847190190735,126.70695666661037,572,33
군산D.C마트,마트,35.9843296750522,126.709918789459,559,33
동신마트,마트,35.9872241781825,126.706847601044,351,33
하늘마트,마트,35.9835254835231,126.711292282515,663,33
완도수산활어마트,마트,35.992423431840386,126.70723647082893,406,33
다온마트,마트,35.989066560214134,126.69751463164782,1100,33
앨트종합마트,마트,35.9834183216938,126.71020599258,661,33
한솔마트,마트,35.9794507636855,126.704893814138,1182,33
명산알뜰쇼핑마트,마트,35.9819278144096,126.709515092924,825,33
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,427,33
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,219,33
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,234,33
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,283,33
해망굴,가볼만한곳,35.9913180812321,126.704849620425,489,33
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,397,33
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,586,33
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,546,33
월명산,가볼만한곳,35.98252204742429,126.70265581907687,990,33
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,364,33
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,244,33
조선은행,가볼만한곳,35.9892535183954,126.714221192099,406,33
우체통거리,가볼만한곳,35.9859964914028,126.711970794777,425,33
수시탑,가볼만한곳,35.989782775471,126.703546782706,558,33
순대국밥거리,가볼만한곳,35.9838076419368,126.720070123366,1118,33
주차장,주차장,35.989513024026216,126.71044208814281,67,33
영화주차장,주차장,35.989154429627,126.708991799105,69,33
용궁수산물센터주차장,주차장,35.9900313722032,126.710873793386,128,33
공영주차장,주차장,35.9900229797068,126.71113110038,147,33
시청광장 주차장,주차장,35.98776220923,126.711680493942,251,33
월명동10 주차장,주차장,35.9901298686052,126.711356936782,170,33
군산근대역사박물관 주차장,주차장,35.9904119240016,126.713223390125,337,33
빈해원 주차장,주차장,35.9887769531663,126.713921281175,384,33
해신동주민센터 주차장,주차장,35.989526122396,126.707667465244,185,33
코렉스마트주차장,주차장,35.9911257686757,126.70876276595,213,33
군산근대역사박물관 주차장,주차장,35.9908272052256,126.711641617427,237,33
금동공영주차장,주차장,35.9896810778442,126.706168708926,321,33
군산내항 주차장3,주차장,35.9909390864851,126.713576350243,389,33
영화유료주차장,주차장,35.988216266448,126.713116008208,332,33
군산내항 주차장2,주차장,35.9904009628884,126.714673943266,461,33
코렉스마트 1호점,마트,35.9910060745605,126.708461567816,371,34
더탑마트,마트,35.9774854873357,126.715851386631,1309,34
진포마트,마트,35.9731249307333,126.721840764369,1967,34
종합가구할인마트,마트,35.9864175137364,126.71581160134,466,34
일등마트,마트,35.984902630839116,126.70722766282124,574,34
코렉스마트주차장,마트,35.9911257686757,126.70876276595,361,34
우리홈마트 명산점,마트,35.9826077869311,126.71044403154,687,34
군산D.C마트,마트,35.9843296750522,126.709918789459,509,34
코사마트 월명점,마트,35.9847190190735,126.70695666661037,605,34
하늘마트,마트,35.9835254835231,126.711292282515,579,34
동신마트,마트,35.9872241781825,126.706847601044,452,34
완도수산활어마트,마트,35.992423431840386,126.70723647082893,560,34
앨트종합마트,마트,35.9834183216938,126.71020599258,602,34
화진마트,마트,35.97815921957206,126.7179778370611,1311,34
다온마트,마트,35.989066560214134,126.69751463164782,1261,34
군산짬뽕특화거리,가볼만한곳,35.9874401730557,126.713815215738,253,34
군산근대화거리,가볼만한곳,35.99015200138156,126.71194127370222,161,34
옛군산세관,가볼만한곳,35.991075870642184,126.7112359403672,260,34
군산근대미술관,가볼만한곳,35.98995301457076,126.71277038195265,176,34
해망굴,가볼만한곳,35.9913180812321,126.704849620425,664,34
군산근대건축관,가볼만한곳,35.9893398034217,126.714123294154,245,34
김수미생가,가볼만한곳,35.9867271039269,126.704076072002,705,34
말랭이마을 스탬프투어,가볼만한곳,35.9864459798514,126.704832282409,652,34
월명산,가볼만한곳,35.98252204742429,126.70265581907687,1054,34
시간여행마을 관광안내소,가볼만한곳,35.9900903188528,126.713657044939,245,34
군산시간여행 관광안내소,가볼만한곳,35.987562046642225,126.71126870566178,132,34
조선은행,가볼만한곳,35.9892535183954,126.714221192099,251,34
우체통거리,가볼만한곳,35.9859964914028,126.711970794777,307,34
수시탑,가볼만한곳,35.989782775471,126.703546782706,726,34
순대국밥거리,가볼만한곳,35.9838076419368,126.720070123366,947,34
시청광장 주차장,주차장,35.98776220923,126.711680493942,109,34
주차장,주차장,35.989513024026216,126.71044208814281,128,34
월명동10 주차장,주차장,35.9901298686052,126.711356936782,154,34
군산근대역사박물관 주차장,주차장,35.9904119240016,126.713223390125,241,34
공영주차장,주차장,35.9900229797068,126.71113110038,146,34
빈해원 주차장,주차장,35.9887769531663,126.713921281175,218,34
용궁수산물센터주차장,주차장,35.9900313722032,126.710873793386,153,34
영화유료주차장,주차장,35.988216266448,126.713116008208,157,34
월명동13 주차장,주차장,35.9859861169363,126.713660786077,362,34
군산근대역사박물관 주차장,주차장,35.9908272052256,126.711641617427,231,34
