순번,도로명주소,농촌도시구분,층수,연면적(제곱미터),전체주소,위도,경도
116,전라북도 군산시 구영1길 10-9(월명동),도시,1,54.21,전라북도 군산시 구영1길 10-9(월명동),35.9857826000156,126.706271431567
117,전라북도 군산시 월명안길 8-3(월명동),도시,1,34.04,전라북도 군산시 월명안길 8-3(월명동),35.984060389007,126.70728510861
118,전라북도 군산시 월명1길 27(월명동),도시,1,163.92,전라북도 군산시 월명1길 27(월명동),35.9843549376312,126.703807046744
119,전라북도 군산시 선양안길 12-1(선양동),도시,1,56.82,전라북도 군산시 선양안길 12-1(선양동),35.9798223838183,126.712107659974
120,전라북도 군산시 개복길 28(개복동),도시,1,33.06,전라북도 군산시 개복길 28(개복동),35.9839648240786,126.714413468151
121,전라북도 군산시 구영2길 38(영화동),도시,1,18.51,전라북도 군산시 구영2길 38(영화동),35.9895183232232,126.709726024426
122,전라북도 군산시 약전길 28-2(중앙로2가),도시,1,115.5,전라북도 군산시 약전길 28-2(중앙로2가),35.9825990549071,126.718207760221
123,전라북도 군산시 팔마로 210-8(경장동),도시,1,44.63,전라북도 군산시 팔마로 210-8(경장동),35.9734663276036,126.724658261971
124,전라북도 군산시 경암1길 23-2(경장동),도시,1,98.07,전라북도 군산시 경암1길 23-2(경장동),35.9740198676527,126.726867361857
125,전라북도 군산시 진포로 227-4(경암동),도시,1,96.78,전라북도 군산시 진포로 227-4(경암동),35.9789610900852,126.732479249281
126,전라북도 군산시 옥구읍 옥구로 128,농촌,1,,전라북도 군산시 옥구읍 옥구로 128,35.9204475097091,126.672515584849
127,전라북도 군산시 옥산면 봉황길 95-13,농촌,1,,전라북도 군산시 옥산면 봉황길 95-13,35.948187164118,126.756550220769
128,전라북도 군산시 회현면 용화1길 64-18,농촌,1,,전라북도 군산시 회현면 용화1길 64-18,35.9310137689807,126.77696581799
129,전라북도 군산시 서수면 신관원길 80-2,농촌,1,,전라북도 군산시 서수면 신관원길 80-2,36.0171135449513,126.872971897773
130,전라북도 군산시 대야면 소차길 15-1,농촌,1,,전라북도 군산시 대야면 소차길 15-1,35.9246676967261,126.809193662529
131,전라북도 군산시 개정면 동정3길 46-1,농촌,1,25.85,전라북도 군산시 개정면 동정3길 46-1,35.9676382330987,126.773832063679
132,전라북도 군산시 개정면 능동1길 30-1,농촌,1,91.1,전라북도 군산시 개정면 능동1길 30-1,35.9500615401458,126.796470445622
133,전라북도 군산시 나포면 원서포길 16,농촌,1,50.0,전라북도 군산시 나포면 원서포길 16,36.0233625505722,126.798310007527
